trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-12-30,16647,16575,16818,16482,1060000,0.63,MARUTI
2025-12-29,16542,16600,16682,16499,251800,-0.33,MARUTI
2025-12-26,16596,16703,16703,16516,212930,-0.64,MARUTI
2025-12-24,16703,16640,16720,16542,258490,0.71,MARUTI
2025-12-23,16585,16709,16720,16558,215650,-0.38,MARUTI
2025-12-22,16649,16464,16693,16414,271590,1.43,MARUTI
2025-12-19,16414,16329,16475,16329,360190,0.52,MARUTI
2025-12-18,16329,16440,16486,16221,213980,-0.42,MARUTI
2025-12-17,16398,16389,16490,16357,257410,0.27,MARUTI
2025-12-16,16354,16400,16451,16320,156130,-0.37,MARUTI
2025-12-15,16415,16500,16500,16360,225220,-0.65,MARUTI
2025-12-12,16522,16248,16536,16247,404710,1.69,MARUTI
2025-12-11,16248,16049,16296,15983,268700,1.43,MARUTI
2025-12-10,16019,16090,16125,15925,293370,-0.01,MARUTI
2025-12-09,16020,16051,16226,15985,276390,-1.03,MARUTI
2025-12-08,16187,16200,16256,16094,220510,-0.58,MARUTI
2025-12-05,16282,16000,16338,15979,332030,1.8,MARUTI
2025-12-04,15994,16058,16135,15887,248810,-0.55,MARUTI
2025-12-03,16082,16219,16248,16010,264400,-0.97,MARUTI
2025-12-02,16239,16127,16261,16095,383170,0.88,MARUTI
2025-12-01,16097,15975,16177,15851,434050,1.24,MARUTI
2025-11-28,15900,15906,16049,15850,352340,-0.02,MARUTI
2025-11-27,15903,16166,16171,15875,339990,-1.57,MARUTI
2025-11-26,16156,15950,16210,15950,314950,1.68,MARUTI
2025-11-25,15889,15958,16050,15842,214530,-0.43,MARUTI
2025-11-24,15958,16005,16085,15911,525790,-0.12,MARUTI
2025-11-21,15977,15790,16150,15737,586350,1.11,MARUTI
2025-11-20,15801,15810,15823,15618,249490,0.21,MARUTI
2025-11-19,15768,15950,15950,15715,286430,-1.02,MARUTI
2025-11-18,15930,15878,15999,15750,392900,0.33,MARUTI
2025-11-17,15878,15689,15892,15655,301070,1.24,MARUTI
2025-11-14,15684,15725,15735,15572,253700,-0.41,MARUTI
2025-11-13,15749,15661,15800,15660,250710,0.34,MARUTI
2025-11-12,15696,15674,15731,15555,244020,0.33,MARUTI
2025-11-11,15645,15640,15680,15512,181520,0.4,MARUTI
2025-11-10,15583,15380,15647,15380,274190,0.67,MARUTI
2025-11-07,15479,15459,15499,15260,227250,0.17,MARUTI
2025-11-06,15452,15534,15534,15309,429800,0.51,MARUTI
2025-11-04,15374,15607,15633,15355,748850,-1.77,MARUTI
2025-11-03,15651,16016,16100,15530,942850,-3.31,MARUTI
2025-10-31,16186,16204,16516,15949,719400,-0.12,MARUTI
2025-10-30,16206,16190,16275,16077,230380,0.42,MARUTI
2025-10-29,16138,16360,16428,16046,232820,-1.06,MARUTI
2025-10-28,16311,16399,16495,16261,383380,-0.47,MARUTI
2025-10-27,16388,16350,16410,16275,209830,0.7,MARUTI
2025-10-24,16274,16392,16423,16200,208520,-0.73,MARUTI
2025-10-23,16393,16660,16660,16340,481750,-0.02,MARUTI
2025-10-21,16396,16453,16476,16330,28990,-0.17,MARUTI
2025-10-20,16424,16500,16518,16380,374250,0.14,MARUTI
2025-10-17,16401,16298,16549,16298,411610,0.63,MARUTI
2025-10-16,16298,16246,16332,16200,265730,0.53,MARUTI
2025-10-15,16212,16300,16380,16200,266440,-0.3,MARUTI
2025-10-14,16261,16350,16350,16121,307930,-0.38,MARUTI
2025-10-13,16323,16264,16432,16218,337620,0.36,MARUTI
2025-10-10,16265,15980,16315,15911,423030,1.75,MARUTI
2025-10-09,15985,16070,16075,15853,300500,-0.17,MARUTI
2025-10-08,16012,16108,16236,15979,306520,-0.6,MARUTI
2025-10-07,16108,16014,16159,15977,330330,0.69,MARUTI
2025-10-06,15998,15840,16057,15708,268500,1.21,MARUTI
2025-10-03,15806,15949,16025,15736,470220,-1,MARUTI
2025-10-01,15965,16026,16109,15850,426080,-0.4,MARUTI
2025-09-30,16029,15985,16054,15921,390010,0.28,MARUTI
