trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-11-04,378,380,382,377,10540000,-2.83,COALINDIA
2025-11-03,389,391,391,387,14150000,-0.03,COALINDIA
2025-10-31,389,390,394,388,13100000,0.25,COALINDIA
2025-10-30,388,383,389,379,15150000,1.49,COALINDIA
2025-10-29,382,393,399,380,26860000,-2.4,COALINDIA
2025-10-28,391,397,398,389,7670000,-1.34,COALINDIA
2025-10-27,397,396,398,394,5440000,0.67,COALINDIA
2025-10-24,394,393,395,391,4070000,0.36,COALINDIA
2025-10-23,393,392,394,390,4310000,0.4,COALINDIA
2025-10-21,391,393,393,391,678080,0.13,COALINDIA
2025-10-20,391,390,392,388,4010000,0.46,COALINDIA
2025-10-17,389,388,390,385,4090000,0.31,COALINDIA
2025-10-16,388,385,388,385,3510000,0.87,COALINDIA
2025-10-15,384,381,385,381,6140000,0.87,COALINDIA
2025-10-14,381,382,385,380,4290000,-0.16,COALINDIA
2025-10-13,382,383,384,381,4750000,-0.77,COALINDIA
2025-10-10,385,384,387,383,5060000,0.3,COALINDIA
2025-10-09,383,383,386,381,4630000,0.33,COALINDIA
2025-10-08,382,386,386,381,3640000,-0.68,COALINDIA
2025-10-07,385,384,389,384,7900000,0.73,COALINDIA
2025-10-06,382,384,384,380,7020000,-0.38,COALINDIA
2025-10-03,383,389,389,382,7430000,-1.33,COALINDIA
2025-10-01,389,390,395,388,4980000,-0.37,COALINDIA
2025-09-30,390,390,391,387,5360000,0.42,COALINDIA
