trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-12-24,3319,3304,3327,3296,1370000,0.27,TCS
2025-12-26,3280,3313,3320,3272,1180000,-1.18,TCS
2025-12-29,3252,3280,3288,3243,2080000,-0.87,TCS
2025-12-30,3247,3250,3268,3240,2810000,-0.14,TCS
2025-12-31,3206,3240,3246,3199,3360000,-1.25,TCS
2026-01-01,3227,3215,3234,3198,1260000,0.66,TCS
2026-01-02,3251,3234,3254,3220,1180000,0.72,TCS
2026-01-05,3216,3241,3247,3191,2340000,-1.06,TCS
2026-01-06,3256,3210,3263,3205,2910000,1.23,TCS
2026-01-07,3296,3243,3301,3223,1990000,1.22,TCS
2026-01-08,3204,3287,3287,3182,4160000,-2.78,TCS
2026-01-09,3162,3145,3183,3145,1940000,-1.32,TCS
2026-01-12,3193,3157,3205,3129,2230000,0.99,TCS
2026-01-13,3221,3198,3233,3164,5650000,0.88,TCS
2026-01-14,3147,3213,3213,3137,3540000,-2.31,TCS
2026-01-16,3207,3219,3222,3171,4290000,1.91,TCS
2026-01-19,3164,3188,3220,3152,3390000,-1.34,TCS
2026-01-20,3102,3152,3160,3091,4500000,-1.94,TCS
2026-01-21,3123,3100,3139,3082,2020000,0.65,TCS
2026-01-22,3150,3150,3160,3122,2270000,0.89,TCS
2026-01-23,3163,3190,3195,3152,2070000,0.38,TCS
2026-01-27,3158,3175,3175,3130,4280000,-0.14,TCS
2026-01-28,3200,3176,3205,3171,2750000,1.33,TCS
2026-01-29,3144,3200,3200,3126,2460000,-1.74,TCS
2026-01-30,3124,3141,3141,3092,3020000,-0.65,TCS
2026-02-01,3187,3124,3234,3105,3010000,2.02,TCS
2026-02-02,3170,3198,3198,3134,2640000,-0.54,TCS
2026-02-03,3225,3350,3350,3186,4370000,1.76,TCS
2026-02-04,2999,3120,3120,2986,10850000,-7.01,TCS
2026-02-05,2992,2990,3030,2972,3520000,-0.25,TCS
2026-02-06,2942,2977,2985,2916,4690000,-1.67,TCS
2026-02-09,2948,2959,2977,2938,2380000,0.22,TCS
2026-02-10,2985,2950,3012,2944,3550000,1.23,TCS
2026-02-11,2910,2980,2998,2904,3360000,-2.51,TCS
2026-02-12,2750,2870,2880,2740,10610000,-5.49,TCS
2026-02-13,2692,2585,2713,2585,11170000,-2.11,TCS
2026-02-16,2707,2700,2720,2671,2920000,0.53,TCS
2026-02-17,2717,2716,2760,2695,4210000,0.4,TCS
2026-02-18,2695,2730,2730,2657,2950000,-0.83,TCS
2026-02-19,2678,2708,2749,2667,3240000,-0.63,TCS
2026-02-20,2686,2667,2703,2648,2290000,0.31,TCS
2026-02-23,2676,2686,2704,2660,4700000,-0.37,TCS
2026-02-24,2574,2641,2648,2561,7800000,-3.83,TCS
2026-02-25,2629,2596,2654,2595,3620000,2.16,TCS
2026-02-26,2648,2650,2671,2635,3460000,0.7,TCS
2026-02-27,2637,2682,2689,2626,5080000,-0.39,TCS
2026-03-02,2614,2592,2624,2580,3370000,-0.91,TCS
2026-03-04,2588,2625,2635,2580,3450000,-0.98,TCS
2026-03-05,2579,2600,2610,2546,2960000,-0.35,TCS
2026-03-06,2558,2572,2619,2554,4000000,-0.82,TCS
2026-03-09,2527,2530,2560,2505,3650000,-1.18,TCS
2026-03-10,2513,2541,2545,2490,4320000,-0.57,TCS
2026-03-11,2465,2508,2521,2460,2720000,-1.92,TCS
2026-03-12,2442,2460,2473,2436,2750000,-0.91,TCS
2026-03-13,2411,2437,2446,2397,2470000,-1.31,TCS
2026-03-16,2409,2410,2425,2366,3810000,-0.05,TCS
2026-03-17,2392,2420,2420,2360,2990000,-0.73,TCS
2026-03-18,2441,2410,2483,2410,3080000,2.05,TCS
2026-03-19,2356,2417,2424,2350,2760000,-3.47,TCS
2026-03-20,2391,2386,2408,2364,4210000,1.47,TCS
2026-03-23,2384,2365,2407,2348,3860000,-0.28,TCS
2026-03-24,2399,2404,2435,2379,3420000,0.63,TCS
2026-03-25,2377,2401,2422,2370,5840000,-0.89,TCS
2026-03-27,2390,2404,2422,2385,4980000,0.52,TCS
2026-03-30,2359,2375,2398,2346,6800000,-1.29,TCS
